frame,aX,aY,aZ,gX,gY,gZ,label
774,0.60478,-0.40325,-0.8092,12.02909,-29.48858,-76.27084,Standing
774,0.49833,-0.37835,-0.77575,17.52226,-24.23956,-82.49642,Standing
774,0.44365,-0.37004,-0.7257,30.03446,-26.19268,-92.56722,Standing
774,0.35771,-0.36467,-0.6134,59.02616,-30.64825,-100.37972,Standing
775,0.33378,-0.33025,-0.56091,76.9705,-31.31964,-95.68002,Standing
775,0.34282,-0.32952,-0.56921,82.95195,-32.96759,-85.60921,Standing
775,0.39579,-0.32659,-0.58679,81.304,-32.78448,-74.80599,Standing
775,0.47538,-0.34221,-0.62927,78.37431,-31.92999,-62.41586,Standing
776,0.54423,-0.28899,-0.66272,74.5291,-25.09405,-56.43441,Standing
776,0.59623,-0.24236,-0.63855,66.77763,-11.36114,-47.95052,Standing
776,0.5706,-0.20403,-0.63366,53.41093,4.69111,-38.12386,Standing
776,0.49638,-0.21746,-0.6947,29.79032,22.81855,-22.5599,Standing
777,0.42826,-0.23674,-0.73986,20.69608,24.34443,-14.25912,Standing
777,0.36918,-0.27532,-0.76013,14.34843,20.3161,-7.66732,Standing
777,0.35478,-0.31536,-0.70861,13.79911,8.59735,0.93864,Standing
777,0.38408,-0.34905,-0.70886,11.23564,-7.57696,9.36149,Standing
778,0.42631,-0.37566,-0.69689,3.179,-22.28643,18.63883,Standing
778,0.45903,-0.37566,-0.73181,-1.82589,-31.01446,20.53092,Standing
778,0.49321,-0.37297,-0.76013,-7.80733,-35.5921,23.82682,Standing
778,0.55815,-0.38298,-0.79528,-19.83126,-41.45147,25.90201,Standing
779,0.59697,-0.38762,-0.76281,-30.57345,-37.72833,21.75162,Standing
779,0.61308,-0.37566,-0.72668,-31.12276,-34.24932,19.49332,Standing
779,0.60453,-0.372,-0.65075,-35.7004,-28.32891,18.27262,Standing
779,0.60063,-0.36077,-0.63684,-38.14181,-21.85919,19.92057,Standing
780,0.58378,-0.35881,-0.60534,-41.92599,-16.42706,21.56852,Standing
780,0.54399,-0.37151,-0.56286,-45.95431,-8.06524,26.14615,Standing
780,0.52519,-0.38811,-0.5675,-47.66329,-1.53448,28.03824,Standing
780,0.46733,-0.43889,-0.54724,-46.93087,9.26874,30.35758,Standing
780,0.43657,-0.46794,-0.52526,-45.22189,14.39569,32.31071,Standing
781,0.36821,-0.49089,-0.54284,-40.15597,17.8747,36.03385,Standing
781,0.36039,-0.47332,-0.53723,-37.04317,17.75263,36.94938,Standing
781,0.33647,-0.48455,-0.54748,-33.74728,18.0578,37.4987,Standing
781,0.3206,-0.49138,-0.52746,-31.48897,18.66816,36.94938,Standing
781,0.28105,-0.48162,-0.56115,-26.42306,14.70087,34.63004,Standing
782,0.28495,-0.4467,-0.57873,-24.53097,13.96845,31.88346,Standing
782,0.2686,-0.45134,-0.58874,-22.27267,10.61152,28.16031,Standing
782,0.26713,-0.43718,-0.59704,-19.83126,8.47528,24.37613,Standing
782,0.24882,-0.42107,-0.63122,-15.07052,3.10419,14.67155,Standing
782,0.23173,-0.39592,-0.66272,-14.21602,0.47968,9.78873,Standing
783,0.231,-0.38933,-0.66345,-13.11739,-5.13555,5.02799,Standing
783,0.21879,-0.35125,-0.6698,-10.24874,-14.35186,-2.35726,Standing
783,0.21611,-0.33342,-0.70007,-4.51143,-36.14141,-6.26351,Standing
783,0.23124,-0.33953,-0.70349,-1.39864,-43.64874,-7.48422,Standing
783,0.26713,-0.33001,-0.67761,8.42802,-53.90265,-13.5267,Standing
784,0.27177,-0.32927,-0.68298,13.4329,-56.40509,-18.65365,Standing
784,0.28495,-0.33342,-0.67761,22.77128,-58.90753,-25.18441,Standing
784,0.30571,-0.37615,-0.75598,28.38651,-58.90753,-29.63998,Standing
784,0.26738,-0.46575,-0.95544,35.8328,-53.10919,-32.20345,Standing
784,0.26445,-0.47625,-1.05896,41.75321,-57.8089,-34.15658,Standing
785,0.26933,-0.46355,-1.10852,45.84257,-63.60723,-35.9266,Standing
785,0.29643,-0.45378,-1.12805,50.2371,-73.06768,-39.03939,Standing
785,0.34404,-0.45427,-1.08483,58.65995,-94.12481,-47.58431,Standing
785,0.42997,-0.39104,-0.94958,65.06865,-105.66045,-52.22298,Standing
785,0.49882,-0.36638,-0.8573,62.68827,-106.20977,-52.71127,Standing
786,0.54277,-0.35857,-0.82678,58.78202,-102.48663,-53.74886,Standing
786,0.55107,-0.40691,-0.87268,39.55595,-70.38213,-58.26546,Standing
786,0.54203,-0.43547,-0.88464,34.7952,-58.11407,-61.13412,Standing
786,0.54252,-0.48381,-0.90051,30.64482,-54.63507,-61.8055,Standing
786,0.54887,-0.53167,-0.91613,27.16581,-52.2547,-61.68343,Standing
787,0.56962,-0.60125,-0.9132,21.67265,-46.45636,-56.19027,Standing
787,0.6121,-0.62712,-0.89001,15.01982,-34.00518,-48.4388,Standing
787,0.61821,-0.65422,-0.85412,12.57841,-25.76544,-45.14291,Standing
787,0.606,-0.69207,-0.80065,10.50321,-4.46417,-34.82796,Standing
787,0.56059,-0.66594,-0.75964,9.77079,16.59296,-24.02474,Standing
788,0.50493,-0.62542,-0.72546,11.29667,26.41962,-19.38607,Standing
788,0.38041,-0.53875,-0.65026,10.74735,40.2746,-10.53597,Standing
788,0.32084,-0.48186,-0.61853,12.2122,38.93183,-7.24008,Standing
788,0.30326,-0.46428,-0.61779,12.09013,35.758,-7.30111,Standing
788,0.30546,-0.48943,-0.59387,13.79911,27.15204,-7.54525,Standing
789,0.33061,-0.4948,-0.60607,19.47538,15.6164,-11.32943,Standing
789,0.36625,-0.48943,-0.59533,23.93095,9.08564,-14.25912,Standing
789,0.4246,-0.48943,-0.61193,28.81376,1.88349,-12.61117,Standing
789,0.44194,-0.49114,-0.63,30.82792,3.65351,-9.07113,Standing
789,0.43144,-0.49602,-0.66589,34.91727,1.88349,-1.44174,Standing
790,0.38188,-0.48259,-0.63269,33.87968,-4.28106,2.28141,Standing
790,0.38896,-0.42937,-0.44982,23.44267,-8.24835,1.42692,Standing
790,0.38115,-0.40837,-0.37268,13.18876,-3.18243,-6.20248,Standing
790,0.39335,-0.43254,-0.359,1.95829,10.36737,-16.8226,Standing
790,0.34575,-0.52068,-0.44274,-8.7839,26.23652,-22.92611,Standing
791,0.24833,-0.65129,-0.6029,6.90214,36.7956,-28.60238,Standing
791,0.22538,-0.59636,-0.682,24.5413,29.1662,-29.76205,Standing
791,0.2454,-0.53362,-0.72522,23.93095,12.19843,-25.67269,Standing
791,0.27494,-0.50554,-0.76086,17.21708,-5.5628,-21.82748,Standing
791,0.34452,-0.46746,-0.7948,-0.48311,-26.19268,-16.39535,Standing
792,0.40507,-0.46502,-0.80529,-15.37569,-34.24932,-13.89291,Standing
792,0.49101,-0.46746,-0.7821,-31.06173,-35.16485,-11.32943,Standing
792,0.51738,-0.48992,-0.76916,-43.75704,-32.17413,-10.47494,Standing
792,0.53202,-0.53337,-0.78845,-50.65401,-22.59161,-9.92562,Standing
792,0.48857,-0.58782,-0.79919,-46.86983,-6.47833,-14.80844,Standing
