frame,aX,aY,aZ,gX,gY,gZ,label
472,1.06596,0.15925,-0.09582,-40.46114,-25.94854,1.61002,Walking
472,1.0518,0.13142,-0.11486,-42.10909,-17.76983,3.25797,Walking
472,1.05107,0.08332,-0.12878,-42.59737,-15.20636,3.74625,Walking
472,1.02787,-0.00212,-0.12072,-41.43771,-8.79766,6.00455,Walking
473,0.98954,-0.02141,-0.07653,-41.55978,-5.50177,7.95768,Walking
473,0.97465,-0.05388,-0.0758,-35.63937,-3.18243,9.9108,Walking
473,0.94194,-0.04851,-0.07312,-33.07589,-3.54864,10.03287,Walking
473,0.9102,-0.06194,-0.09582,-30.39034,-5.31866,9.11735,Walking
474,0.88554,-0.02019,-0.11755,-26.30099,-9.22491,9.84977,Walking
474,0.90361,0.0074,-0.13684,-22.94405,-12.21563,10.64322,Walking
474,0.92338,0.04304,-0.11999,-16.71847,-17.64776,12.04703,Walking
474,0.92704,0.07649,-0.14782,-15.92501,-18.31915,9.78873,Walking
475,0.93388,0.09993,-0.16687,-15.49776,-19.47882,8.62906,Walking
475,0.94072,0.10286,-0.16125,-17.26778,-21.06573,8.62906,Walking
475,0.99028,0.08845,-0.16833,-20.01436,-23.93438,12.35221,Walking
475,1.02568,0.0594,-0.14196,-23.06612,-22.34747,13.08463,Walking
476,1.0142,0.02327,-0.12268,-25.20235,-22.46954,14.12223,Walking
476,1.05717,0.01619,-0.13317,-26.8503,-20.88263,14.06119,Walking
476,1.0645,-0.00042,-0.15759,-24.95821,-16.91534,13.51188,Walking
476,1.06352,-0.01628,-0.182,-20.80782,-15.32843,13.38981,Walking
477,1.08549,-0.00432,-0.17688,-15.43673,-10.9339,11.55875,Walking
477,1.08622,-0.01262,-0.20007,-9.51632,-7.21075,9.9108,Walking
477,1.05717,-0.01043,-0.2196,-0.72725,1.33417,5.45524,Walking
477,1.00077,0.02302,-0.20983,3.3621,2.92109,4.66178,Walking
478,0.97392,0.00447,-0.21228,5.01005,5.17939,3.50211,Walking
478,0.9539,0.00203,-0.20642,4.94901,7.37665,1.97623,Walking
478,0.87675,0.00056,-0.15393,4.33866,2.67695,1.48795,Walking
478,0.89457,0.0218,-0.11779,3.66728,-0.31378,3.07487,Walking
479,0.92241,0.02107,-0.07971,1.53105,-5.99005,3.31901,Walking
479,0.94853,0.02302,-0.06457,-2.61934,-11.117,1.36588,Walking
479,0.9893,-0.02459,-0.10607,-5.06075,-9.95733,-3.27279,Walking
479,1.01445,-0.03972,-0.10119,-3.35177,-7.14971,-4.31039,Walking
480,1.05619,-0.02825,-0.12341,13.86015,-1.90069,-7.05697,Walking
480,1.03178,0.02278,-0.14929,19.10917,3.16523,-11.2684,Walking
480,0.92094,0.05574,-0.10705,14.89775,7.92597,-7.17904,Walking
480,0.89238,0.11677,-0.11779,11.1746,-3.36554,-8.09457,Walking
481,0.90434,0.14045,-0.15173,9.70976,-5.99005,-7.24008,Walking
481,0.9041,0.11921,-0.19226,5.25419,-4.3421,-5.47006,Walking
481,0.92265,0.11287,-0.16442,2.26347,-2.69415,-2.84554,Walking
481,0.92534,0.10334,-0.16003,-0.05587,-1.90069,-0.3431,Walking
482,0.94633,0.10847,-0.11584,-10.06563,0.11347,7.10319,Walking
482,0.97856,0.05403,-0.09899,-23.67647,-2.38897,7.6525,Walking
482,0.98954,0.01741,-0.13464,-24.65304,-2.75518,3.01383,Walking
482,0.99687,0.04792,-0.17907,-21.05196,-4.95245,0.51139,Walking
483,1.03666,0.03694,-0.24963,-13.17843,-2.75518,1.97623,Walking
483,1.05571,0.00789,-0.25866,-6.46456,-1.90069,1.48795,Walking
483,1.03764,-0.03118,-0.21179,-0.91036,0.41864,-0.16,Walking
483,1.03691,-0.03948,-0.17712,4.3997,4.93525,0.45035,Walking
484,1.00175,-0.04094,-0.15393,7.14628,6.94941,-3.33383,Walking
484,1.00517,-0.0324,-0.11315,11.96806,8.8415,-7.42318,Walking
484,0.97783,0.02205,-0.10437,18.92607,10.97773,-8.33871,Walking
484,0.97245,0.0865,-0.15271,23.19853,9.0246,-9.98666,Walking
485,0.97001,0.10554,-0.16662,28.08134,13.17499,-7.9725,Walking
485,0.94023,0.11213,-0.1903,27.53202,16.04364,-3.70004,Walking
485,0.90483,0.09675,-0.17248,20.57401,14.63984,-0.95345,Walking
485,0.90312,0.04475,-0.14221,13.49394,8.78046,-1.25863,Walking
485,0.93974,0.04036,-0.13513,12.57841,2.86005,-3.39486,Walking
486,0.98173,0.04841,-0.11828,14.83671,4.32489,-3.15072,Walking
486,0.99711,0.04011,-0.08093,12.45634,8.90253,-4.00521,Walking
486,1.02861,0.02302,-0.10925,7.20732,11.2829,-1.13656,Walking
486,1.01225,-0.0031,-0.16223,2.56864,13.84638,1.54899,Walking
486,0.99711,-0.03508,-0.21887,8.12284,17.26435,0.99967,Walking
487,0.96098,-0.05706,-0.21691,21.30644,16.71503,-1.62484,Walking
487,0.97734,-0.05169,-0.21862,33.08622,15.86054,-2.78451,Walking
487,1.05644,0.05476,-0.09069,34.42899,25.80927,-4.00521,Walking
487,0.98491,0.11921,-0.07824,19.10917,36.67353,-8.21664,Walking
487,0.88847,0.17024,-0.08508,14.71464,32.70624,-12.42806,Walking
488,0.85771,0.19319,-0.07019,21.30644,19.40058,-14.19808,Walking
488,0.91948,0.19075,-0.14587,15.6912,1.33417,-20.11849,Walking
488,1.03251,0.13997,-0.17956,7.45146,-3.06036,-20.54574,Walking
488,1.08793,0.05696,-0.18811,0.24931,3.4704,-17.24984,Walking
488,1.07377,-0.0241,-0.18322,-2.43624,13.17499,-14.32015,Walking
489,1.02006,-0.04168,-0.12878,3.11796,20.19403,-13.58773,Walking
489,0.99321,-0.01775,-0.09533,6.23075,19.94989,-10.59701,Walking
489,0.98222,0.02375,-0.05798,5.68144,14.09052,-10.47494,Walking
489,0.9954,0.02742,-0.07019,-2.55831,15.7995,-10.04769,Walking
489,0.97905,0.02229,-0.03649,8.61112,20.98749,-16.21224,Walking
490,0.93901,0.0533,-0.00158,21.55058,25.32099,-17.18881,Walking
490,0.90336,0.08894,0.00013,27.10478,23.30683,-16.57845,Walking
490,0.89946,0.12532,-0.03381,26.12821,15.00605,-14.68637,Walking
490,0.92363,0.15754,-0.05065,18.55985,0.29657,-13.09945,Walking
490,0.93779,0.11189,-0.05139,-3.4128,-2.45001,-9.1932,Walking
491,0.92094,0.07893,-0.03845,-6.34249,-2.75518,-8.70492,Walking
491,0.90019,0.03938,-0.04773,0.24931,-2.57208,-12.00082,Walking
491,0.90043,0.05061,-0.0697,6.47489,-3.67071,-13.5267,Walking
491,0.90483,0.06599,-0.07312,12.33427,-5.31866,-14.68637,Walking
491,0.9749,0.08918,-0.09582,19.23124,-6.84454,-15.17465,Walking
492,0.97197,0.09065,-0.10778,18.37675,-6.84454,-14.7474,Walking
492,0.97441,0.06819,-0.10485,15.08085,-7.39386,-13.58773,Walking
492,0.99931,0.00691,-0.07727,10.44218,-7.21075,-11.57357,Walking
492,1.00322,-0.01213,-0.06848,10.56425,-7.21075,-9.62045,Walking
492,1.01909,0.01887,-0.0194,17.46122,-7.27179,-10.10873,Walking
493,1.01884,0.08162,-0.0382,23.56474,-5.07452,-11.87875,Walking
493,1.00908,0.11189,-0.07141,28.93583,-3.91485,-13.58773,Walking
493,0.98661,0.19148,-0.17175,40.95975,-0.06964,-11.75668,Walking
493,0.98271,0.16365,-0.19787,43.70634,-0.49688,-9.98666,Walking
