frame,aX,aY,aZ,gX,gY,gZ,label
489,0.89799,-0.30413,-0.54748,-46.44259,-21.37091,28.70963,Standing
489,0.84892,-0.32,-0.50842,-46.68673,-13.43634,26.81754,Standing
489,0.80326,-0.34343,-0.49133,-41.2546,-3.06036,24.92545,Standing
489,0.75248,-0.29338,-0.47961,-27.58272,-2.32794,24.19303,Standing
490,0.73588,-0.25505,-0.52917,-17.14571,-4.15899,21.44645,Standing
490,0.78349,-0.20916,-0.56384,-15.92501,-16.24395,16.80778,Standing
490,0.85942,-0.22356,-0.55847,-20.92989,-23.263,19.06608,Standing
490,0.94365,-0.27214,-0.54211,-17.69503,-19.9671,20.22574,Standing
491,0.99882,-0.25017,-0.54528,-5.488,-2.69415,17.60123,Standing
491,1.00395,-0.22063,-0.64343,-11.28634,6.94941,25.77994,Standing
491,0.99028,-0.20671,-0.67883,-27.70479,20.80439,31.70035,Standing
491,0.94462,-0.25481,-0.64294,-38.87423,33.62177,36.52213,Standing
492,0.87187,-0.24675,-0.54626,-34.29659,42.5329,30.35758,Standing
492,0.76933,-0.2116,-0.5509,-30.51241,46.01191,20.59196,Standing
492,0.72416,-0.13591,-0.52014,-26.72823,37.22284,15.95328,Standing
492,0.71757,-0.15496,-0.46667,-26.60616,26.60273,16.92985,Standing
493,0.70317,-0.18108,-0.48986,-25.44649,20.49921,25.65787,Standing
493,0.73295,-0.23552,-0.54943,-26.42306,17.02021,28.28238,Standing
493,0.78666,-0.24773,-0.53723,-23.49337,14.45673,24.49821,Standing
493,0.76689,-0.30388,-0.47351,-20.68575,20.01093,20.8361,Standing
494,0.71391,-0.34368,-0.33557,-10.61495,18.0578,18.51676,Standing
494,0.65922,-0.24846,-0.35217,2.08036,6.64423,9.42252,Standing
494,0.67314,-0.20916,-0.38806,-2.13106,-0.13067,5.2111,Standing
494,0.72001,-0.17742,-0.41662,-8.72286,-9.34698,2.03727,Standing
495,0.79887,-0.21892,-0.42907,-15.98604,-13.61944,3.44108,Standing
495,0.87993,-0.25847,-0.48962,-26.05684,-10.75079,6.85905,Standing
495,0.8853,-0.28289,-0.53967,-24.77511,-0.25274,9.42252,Standing
495,0.83867,-0.27581,-0.55407,-12.87325,11.0998,10.82633,Standing
496,0.75126,-0.27483,-0.5111,-4.75558,12.44257,10.9484,Standing
496,0.69194,-0.2802,-0.46887,-3.04659,4.08075,11.55875,Standing
496,0.731,-0.30852,-0.49426,-2.3752,-2.81622,10.88737,Standing
496,0.76664,-0.32488,-0.4696,1.71415,-3.60968,8.44596,Standing
497,0.76884,-0.30169,-0.49963,7.32939,-2.02276,4.41764,Standing
497,0.73735,-0.2929,-0.5072,15.32499,6.21698,-3.4559,Standing
497,0.71611,-0.27117,-0.52014,21.00126,3.95868,-9.92562,Standing
497,0.70366,-0.21599,-0.53039,22.22196,-1.35138,-12.97738,Standing
498,0.69804,-0.195,-0.56897,15.38603,-10.9339,-13.16049,Standing
498,0.82328,-0.25969,-0.54284,0.12724,-17.7088,-6.38558,Standing
498,0.8416,-0.30461,-0.53332,1.77519,-13.00909,-7.85043,Standing
498,0.85624,-0.2614,-0.50598,8.79423,-3.12139,-6.32455,Standing
499,0.80351,-0.21819,-0.47229,8.73319,6.15595,-5.8973,Standing
499,0.72953,-0.20232,-0.46862,4.21659,12.07636,-3.70004,Standing
499,0.70634,-0.18694,-0.49304,3.3621,8.04804,-5.59213,Standing
499,0.71586,-0.21575,-0.4989,0.98173,4.99628,-9.68148,Standing
500,0.7371,-0.27947,-0.46838,0.43241,2.00556,-14.19808,Standing
500,0.79911,-0.28167,-0.46398,2.99589,0.96796,-15.9681,Standing
500,0.81694,-0.30266,-0.45105,5.25419,0.1745,-16.02914,Standing
500,0.82524,-0.30559,-0.44909,7.39042,0.47968,-15.41879,Standing
501,0.87748,-0.26165,-0.48571,6.78007,2.06659,-5.83627,Standing
501,0.89848,-0.26238,-0.47961,5.4373,3.04316,-1.93002,Standing
501,0.89409,-0.27434,-0.48181,5.25419,5.78974,-1.01449,Standing
501,0.89213,-0.27874,-0.49011,7.75663,8.90253,-2.72347,Standing
502,0.88383,-0.2509,-0.49157,9.9539,11.58808,-4.79867,Standing
502,0.8538,-0.23357,-0.48303,14.04325,16.71503,-6.9349,Standing
502,0.79887,-0.21111,-0.47033,14.04325,18.54609,-6.20248,Standing
502,0.76689,-0.18132,-0.4696,13.86015,19.03437,-5.83627,Standing
503,0.7266,-0.15471,-0.4801,15.14189,17.26435,-5.22592,Standing
503,0.70414,-0.10198,-0.50891,14.10429,11.0998,-4.61556,Standing
503,0.71074,-0.08757,-0.49475,12.63944,6.5832,-5.65316,Standing
503,0.73295,-0.09905,-0.47619,8.73319,4.508,-4.55453,Standing
504,0.75712,-0.12419,-0.4906,1.71415,0.72382,-5.8973,Standing
504,0.78276,-0.15178,-0.50915,-2.00899,-1.96173,-6.62972,Standing
504,0.82719,-0.15422,-0.50939,-4.38936,-3.18243,-7.05697,Standing
504,0.85502,-0.17327,-0.53918,-5.18282,-3.06036,-7.30111,Standing
505,0.89311,-0.19988,-0.53576,-7.50216,3.40937,-5.47006,Standing
505,0.88212,-0.24749,-0.47937,-7.7463,13.48017,-2.11312,Standing
505,0.87016,-0.25627,-0.46423,-8.47872,17.20331,-0.22103,Standing
505,0.86259,-0.22942,-0.44885,-7.56319,20.133,1.73209,Standing
505,0.83989,-0.21306,-0.45373,-6.03731,21.10956,2.03727,Standing
506,0.79594,-0.22258,-0.45324,0.79862,23.4289,-0.28207,Standing
506,0.7808,-0.21477,-0.44177,4.88798,19.64472,-4.18832,Standing
506,0.73954,-0.22161,-0.42834,7.8787,16.77607,-7.78939,Standing
506,0.75444,-0.2033,-0.45617,11.66288,11.71015,-11.87875,Standing
506,0.75175,-0.19158,-0.45544,11.11357,5.05732,-17.31088,Standing
507,0.75346,-0.21062,-0.43933,5.86454,3.34833,-18.0433,Standing
507,0.8162,-0.22722,-0.42834,-1.27657,-3.48761,-14.25912,Standing
507,0.81767,-0.22722,-0.41809,3.179,0.23554,-12.00082,Standing
507,0.78544,-0.22161,-0.44177,3.85038,-1.10723,-11.20736,Standing
507,0.82377,-0.16668,-0.48352,4.15556,-1.96173,-9.31527,Standing
508,0.84257,-0.16692,-0.47546,2.20243,-0.0086,-8.52181,Standing
508,0.82621,-0.22698,-0.46472,-3.4128,7.37665,-7.42318,Standing
508,0.82158,-0.26091,-0.47375,-6.40352,10.36737,-9.07113,Standing
508,0.82133,-0.28679,-0.48327,-4.57247,12.3205,-9.0101,Standing
508,0.81132,-0.29192,-0.49987,0.67655,10.79462,-6.99593,Standing
509,0.79618,-0.28704,-0.51208,3.179,7.62079,-4.31039,Standing
509,0.79399,-0.31389,-0.50647,2.38554,0.78486,-3.94418,Standing
509,0.79448,-0.29119,-0.50256,5.4373,3.16523,-0.52621,Standing
509,0.75688,-0.27068,-0.48132,7.45146,5.5456,1.9152,Standing
510,0.70243,-0.23552,-0.46545,12.02909,2.37177,2.34244,Standing
510,0.73759,-0.21502,-0.48352,14.77567,-5.01348,0.08414,Standing
510,0.77299,-0.22478,-0.48864,18.25468,-7.8211,0.99967,Standing
510,0.80473,-0.23088,-0.53088,22.71025,-8.61456,0.38932,Standing
511,0.84282,-0.2033,-0.49304,26.37235,-4.95245,0.20621,Standing
511,0.8267,-0.20061,-0.47009,23.80888,0.29657,1.97623,Standing
511,0.79423,-0.17937,-0.48352,12.88358,4.93525,4.41764,Standing
511,0.77494,-0.17961,-0.47912,6.658,4.81318,4.23453,Standing
512,0.76909,-0.21794,-0.48059,-0.78829,6.7663,3.99039,Standing
512,0.80473,-0.29045,-0.47448,-6.34249,2.06659,2.64762,Standing
512,0.86869,-0.33318,-0.49719,4.88798,0.35761,3.01383,Standing
512,0.87626,-0.33269,-0.45129,17.33915,6.5832,0.99967,Standing
513,0.83403,-0.31853,-0.42224,25.39579,12.3205,-1.86898,Standing
513,0.76982,-0.26824,-0.42981,32.41483,12.93085,-6.9349,Standing
513,0.79472,-0.23381,-0.45593,40.10526,9.87909,-10.53597,Standing
513,0.8228,-0.23162,-0.42517,41.57011,10.00116,-10.29183,Standing
514,0.85405,-0.19548,-0.46008,42.66874,12.99189,-8.70492,Standing
514,0.86918,-0.14983,-0.52136,44.6829,14.5788,-7.24008,Standing
514,0.82914,-0.15154,-0.49157,37.66386,13.17499,-8.70492,Standing
514,0.82914,-0.15984,-0.46667,32.04862,7.07148,-11.14633,Standing
515,0.8311,-0.14617,-0.45251,29.60722,5.11835,-13.22152,Standing
515,0.83793,-0.11736,-0.43249,25.94511,6.09491,-11.93978,Standing
515,0.81327,-0.15691,-0.42688,13.06669,9.39081,-11.39047,Standing
515,0.79057,-0.15886,-0.43933,10.80839,10.91669,-9.31527,Standing
516,0.80082,-0.17376,-0.45715,9.77079,6.09491,-6.50765,Standing
516,0.83305,-0.21477,-0.43469,5.92558,4.508,-7.85043,Standing
516,0.83159,-0.25115,-0.44592,7.14628,7.07148,-9.92562,Standing
516,0.81498,-0.24016,-0.49035,16.54569,4.38593,-13.28256,Standing
517,0.82548,-0.22063,-0.47619,18.31571,4.69111,-14.32015,Standing
517,0.87114,-0.19036,-0.4281,18.31571,7.43769,-12.00082,Standing
517,0.88896,-0.16033,-0.41052,13.00566,11.46601,-11.2684,Standing
517,0.85649,-0.19304,-0.43444,2.1414,15.31122,-4.12728,Standing
518,0.83256,-0.28655,-0.43786,1.77519,10.48944,-8.64388,Standing
518,0.78837,-0.33171,-0.40051,13.67704,9.39081,-14.32015,Standing
518,0.77739,-0.35149,-0.40539,22.16093,5.78974,-19.38607,Standing
518,0.77958,-0.34026,-0.40344,25.45683,3.89765,-20.66781,Standing
519,0.79911,-0.32903,-0.41491,28.08134,3.34833,-21.94955,Standing
519,0.81816,-0.29412,-0.39538,30.2786,4.93525,-21.88851,Standing
519,0.82597,-0.26311,-0.41247,30.82792,7.07148,-20.91195,Standing
519,0.83281,-0.25554,-0.42443,31.37724,6.03388,-20.97299,Standing
520,0.89604,-0.23284,-0.42932,28.75273,6.09491,-19.93539,Standing
520,0.929,-0.23015,-0.42248,27.40995,8.71943,-20.24056,Standing
520,0.98344,-0.21428,-0.42639,24.17509,13.90741,-18.47054,Standing
520,0.96928,-0.23333,-0.43469,21.85575,20.43818,-16.51742,Standing
521,0.88578,-0.29778,-0.43151,17.09501,25.99237,-11.69564,Standing
521,0.82182,-0.31633,-0.43396,15.44706,25.13788,-11.02426,Standing
521,0.79643,-0.32976,-0.40808,15.6912,23.30683,-9.37631,Standing
521,0.78154,-0.32024,-0.3739,15.75224,20.3161,-8.1556,Standing
522,0.75248,-0.30632,-0.33288,17.58329,18.36298,-7.78939,Standing
522,0.73832,-0.30974,-0.33996,16.48466,14.51777,-9.37631,Standing
522,0.7227,-0.30413,-0.3573,17.46122,12.93085,-10.35287,Standing
522,0.74052,-0.28752,-0.38488,22.40507,3.53144,-15.66293,Standing
523,0.75981,-0.26018,-0.40539,25.09062,0.05243,-18.10433,Standing
523,0.77592,-0.25798,-0.41467,26.37235,-2.93829,-20.11849,Standing
523,0.79008,-0.25554,-0.41638,27.28788,-5.50177,-21.64437,Standing
523,0.8516,-0.25188,-0.41857,26.37235,-1.83966,-21.09506,Standing
524,0.85185,-0.26043,-0.42517,24.29716,0.05243,-19.0809,Standing
524,0.85673,-0.26946,-0.42004,24.05302,1.45624,-18.2264,Standing
524,0.86674,-0.26751,-0.41198,24.96855,3.34833,-15.72396,Standing
524,0.84477,-0.26116,-0.41247,24.84648,3.77558,-15.05258,Standing
525,0.84892,-0.25847,-0.40466,24.60233,2.00556,-12.91635,Standing
525,0.84208,-0.24651,-0.41101,24.5413,1.63935,-11.51254,Standing
525,0.82499,-0.22576,-0.40466,26.00614,0.90693,-9.1932,Standing
525,0.8372,-0.20842,-0.38195,25.762,2.4328,-8.33871,Standing
526,0.82841,-0.19524,-0.35339,23.99198,3.71454,-7.24008,Standing
526,0.80522,-0.19768,-0.34704,19.78056,2.61591,-6.14144,Standing
526,0.85258,-0.26604,-0.34973,23.93095,-3.3045,-14.07601,Standing
526,0.84452,-0.27459,-0.36315,31.92655,-4.3421,-16.27328,Standing
527,0.87919,-0.21697,-0.37731,37.0535,-6.90557,-18.95883,Standing
527,0.95317,-0.18865,-0.3927,34.36796,-6.05108,-19.87435,Standing
527,0.98759,-0.20598,-0.41589,28.26444,1.33417,-21.70541,Standing
527,0.99101,-0.19817,-0.42321,26.55546,4.99628,-22.5599,Standing
528,0.93827,-0.18132,-0.41882,27.34892,13.23603,-22.25472,Standing
528,0.86113,-0.1574,-0.39172,26.98271,14.33466,-19.81332,Standing
528,0.83696,-0.14861,-0.38781,25.09062,12.68671,-18.95883,Standing
528,0.81547,-0.11638,-0.3988,19.78056,8.10907,-15.9681,Standing
529,0.78471,-0.14177,-0.34851,12.2122,10.30634,-11.57357,Standing
529,0.75517,-0.18352,-0.37194,9.89286,7.43769,-11.2684,Standing
529,0.80619,-0.19451,-0.36364,11.05253,1.39521,-15.23568,Standing
529,0.85966,-0.19939,-0.38317,6.16972,-1.59552,-17.18881,Standing
530,0.90507,-0.21575,-0.40271,3.11796,-2.81622,-18.53158,Standing
530,0.95292,-0.20794,-0.4154,2.01933,2.00556,-16.02914,Standing
530,0.90605,-0.2094,-0.40759,5.25419,8.29218,-12.4891,Standing
530,0.88017,-0.21819,-0.37536,8.61112,6.88837,-12.36703,Standing
531,0.88041,-0.2575,-0.35485,7.93974,3.77558,-13.28256,Standing
531,0.8726,-0.28972,-0.34045,6.10868,2.61591,-16.88363,Standing
531,0.84477,-0.25725,-0.35363,13.31083,6.40009,-22.01058,Standing
531,0.7913,-0.25261,-0.34582,17.09501,9.39081,-23.84164,Standing
532,0.78813,-0.2553,-0.34899,19.53642,7.13251,-23.10922,Standing
532,0.78984,-0.24041,-0.34484,25.02958,6.40009,-17.86019,Standing
532,0.82646,-0.24431,-0.31945,26.98271,4.08075,-14.86947,Standing
532,0.85917,-0.24871,-0.34484,25.09062,4.44696,-13.89291,Standing
533,0.87065,-0.25408,-0.37048,24.05302,2.79902,-16.27328,Standing
